what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.showIn",1314791842839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314791876392
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314791886646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314791900892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314791908617
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314791936659
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1314791949170
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314791977473
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314791977635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314792033927
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314792034875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314792040105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314792063847
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314792067143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314792096933
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314792131603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314792137356
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314793806933
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314793830911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1314793896868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1314793896869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314793896937
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1314793897515
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1314793897600
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1314793897982
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1314793898045
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1314793898590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314793925872
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1314793934418
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1314793934429
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1314793934584
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1314793934676
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1314793934946
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1314793935057
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1314793935244
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1314793936075
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1314793936768
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1314793938389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314793938497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314793944570
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1314794013791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1314794013791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794014042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794041491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794063339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794063853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794064166
started,bundle,org.eclipse.pde,3.6.100.v201106131736,"org.eclipse.pde",1314794111071
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1314794111298
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1314794111320
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110506,"org.eclipse.equinox.frameworkadmin.equinox",1314794130798
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314794205617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794248621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794249253
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314794257156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794277256
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794282202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794282856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794282868
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314794298756
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314794324637
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794356172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794432499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794440622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794456641
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314794469144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794469450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794489282
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1314794501585
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314794505310
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314794515790
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314794516002
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1314794528863
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314794597130
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314794606143
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314794606144
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794691250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794695102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314794695738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314796898776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314796925016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314796927475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314796929847
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314796931716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314796990517
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797072708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797073505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797156011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797175893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797178094
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797353973
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797437982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797440001
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797443753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797446020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797446312
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314797525798
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314797567827
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314797567973
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314797568059
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314797570434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797591791
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797592344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797595752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797598092
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1314797834581
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.pageDown",1314797835746
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.pageUp",1314797839136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314797957630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314798360028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314798370044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842478582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842490594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842626263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842630896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842733109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842737378
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842742463
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842744570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314842753971
